>>> GraphicConverter ::: v11.2.2 - August 5, 2020 ::: https://www.lemkesoft.de/en/products/graphicconverter/
>>> Formats: https://www.lemkesoft.de/en/products/graphicconverter/key-features/import-and-export-formats/
>>> JS Code to rip formats: Array.from(document.querySelectorAll("#c315 table tr")).map(tr => Array.from(tr.querySelectorAll("td")).map(td => td.textContent.trim())).join("\n")
Format,Import,Export,Metadata *),Comment
.D,X,-,-,320x200 pixel at 1 bit
8BIM,X,-,ICC,old Photoshop 2.0 formatsupports 1, 8 and 24 bit per pixel
AAI,X,-,-,-
Acorn Sprite,X,-,-,contains sprites from Acorn computers
AFP,X,-,-,variant of the TIFF format for 1 bit images
ALIAS,X,-,-,Alias Pix formatSupports 256 grays or 24 bit.
AMBER ARR,X,-,-,Used by a microscopeSupports 256 grays.
AMC,X,-,-,-
Analyze,X,-,-,Format from medical technology that is made up of two files: .hdr contains the header and .img contains the image data.
ANI,X,-,-,Animations from the NeoChrome application
ANI,X,-,-,Animated Windows Cursor
ANPA,X,-,IPTC,Format with IPTC details.
Apple File Icon,-,X,-,These files only contain the file icon. By pressing Command-I in the operating system, you can click and copy it in the dialog that opens before setting it for another file with Command-V.
Apple Preferred,X,-,-,Format des images Apple IIgs
ART,X,-,-,Format of First PublisherSupports 1 bit per pixel
ARW,X,-,-,-
ASCII,X,X,-,option for importing and exporting images as ASCII characters.
Atari Portfolio,X,-,-,-
B3D,X,-,-,Maxon format of their 3D render application
Bio,X,-,-,Bio-Formats of medical devices and microscopes (Glencoe SDK)
BioRad,X,-,-,BioRad file formatSupport 256 grays
BLD,X,X,-,Format of Mega Paint
BMP,X,X,-,Standard Windows formatSupports 1, 4, 8, 15 and 24 bit per pixel
BSB,X,-,-,Format for maps
BSP,X,-,-,-
BUF,X,-,-,Supports 32 bit
BUM,X,X,-,Variant of the BMP or PICT format
Byte-Array Hea- der File (.H),-,X,-,Image is converted to C source code, e.g. for games console developers
CALS,X,-,-,CCITT 4 compressed black and white graphics
c4,X,-,-,JEDMICS C4 format.
CAM,X,-,-,Format of the Casio QV-10/100Variant of the JPEG format
CALS,X,-,-,CCITT 4 compressed black & white images
CEL,X,X,-,CEL format
CGM,X,-,-,International standarized file format for exchange of image with vector and bitmap content
Chyron,X,X,-,The export option only covers the basic elements.
cicn,-,X,-,Icons
CINEON,X,-,-,-
CISCOIpPhoneI mages,X,X,-,-
CLP,X,-,-,clipboard format of Windows
cri,X,-,-,-
CRW,X,-,IPTC,see Photo Raw
CR2,X,-,IPTC,see Photo Raw
csource,X,X,-,csource file format (image as csource).
CT,X,-,-,Scitex color images
CUR,X,X,-,Cursor format
CVG,X,-,-,Calamus vector format
CWK,X,-,-,Apple Works document format. All images contained are imported.
DCS,X,-,-,.C, .M, .Y, .K documents are combined in a complete CMYK image
DCR,X,-,-,see Photo Raw
DCX,X,-,-,Contains multiple PCX files.
DDS,X,X,-,Native format of graphic cards. Used in some games. Supported variants: DXT1, DXT3, DXT5
DeltaVision,X,-,-,DeltaVision format.
DESR VFF,X,-,-,-
DICoM,X,-,-,Medical format
Direct icns,X,X,-,-
Diskus YUV,X,X,-,Format from television production
DJ1000,X,-,-,Camera format
DL,X,-,-,Animation format with 320 x 200 pixel at 8 bit.Contains normally x-rated content.
dm2/dm3,X,-,-,Gatan format from digital microscopes
DNG,X,-,-,Digital Negative
Doodle,X,-,-,-
DPX,X,-,-,-
Dr. Halo,X,-,-,1. Format of the Dr. Halo application2. Uses 256 colors.
DrawIT,X,-,-,DrawIT PDB format on PalmOS.
ECW,X 10),X 10),-,ECW wavelet format. Used for large maps.
ElectronicImage,X,X,-,Electric Image format.It may contain animations.
EPSF,X 2),X,-,Postscript format.
ESM,X,-,-,ESM format
Facesaver,X,-,-,-
Favicon ICO,X,X,-,Format for pictures with 16x16 pixels that are displayed in the address bar in front of the URL. Windows ICONS is used as the file format. Adapt and insert the following HTML code in your Web site and copy the favicon.ico image to your server.<link rel="shortcut icon" href="http:// www.lemkesoft.de/favicon.ico"> <link rel="icon" href="http://www.lemkesoft.de/ favicon.ico" type="image/ico">
FAX,X,-,-,CCITT 3 encoded fax file
FaxSTF,X,-,-,Format from the FaxSTF software
fep,X,-,-,-
fig,X,-,-,With installed xfig fink package on X
First Publisher art,X,-,-,-
FireViewer PDB,X,-,-,Palm OS format.Supports b&w, 4 and 16 grays and 256 colors.
FITS,X,X,-,Flexible Image Transport System format.Normally used for science.
FLH/FLI/FLC,X,-,-,Animation from the Autodesk Animator.FLI supports 8 bits at 320 x 200 pixel.FLC support 8 bits at 640 x 480 pixel.FLH supports high color.
FPX,X 6),-,-,FlashPix file format.
Freehand 10,X 4),-,-,-
FUJI,X,-,-,-
GATAN,X,-,-,Format of a microscope.Supports 256 grays.
GEM,X,-,-,Vector images (GEM-Metafile) from the GEM-Draw application.
GFX,X,-,-,Format of Xgrabber
GIF,X,X,COM,Supports 1 to 8 bit per pixel.Format was created by CompuServe Inc.
GrayPaint,X,-,-,GrayPaint PDB format on PalmOS.
GRP,X,-,-,Uses 1 or 4 bit per pixel.
HAM,X,-,-,Format Interchange File Format (IFF)
HD Photo (wdp),X,-,-,GraphicConverter can only open this Microsoft format in the UB version.
HDR,X,-,-,Radiance (HDRI) format
HEIC/HEIF,,,,
HEIC/HEIF,X (>=10.13),X (>=10.13),X (>=10.13),High Efficiency Format
HP-GL/2,X,X,-,Vector images.This format is normally used from plotters.
HGT,X,-,-,-
HMR,X,-,-,Variation of the TIFF format
