              Formatid                                                                         Magics                                                                                                                                                                                    Magic Names                                                                                                                               
-------------------------------------     -----------------------------------------------------------------------------------------------------------------     --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------     
video/wmv                                 , "fmt/131", "fmt/132", "fmt/133"                                                                                     [Advanced Systems Format] [Windows Media Audio] [Windows Media Video]                                                                                                                                                                                              
video/webmVideo                           , "fmt/573"                                                                                                           [WebM]                                                                                                                                                                                                                                                             
video/videoMasterFilm                     , "x-fmt/155"                                                                                                         [AutoCAD Film Roll]                                                                                                                                                                                                                                                
video/threeGVideo                         , "fmt/199"                                                                                                           [MPEG-4 Media File]                                                                                                                                                                                                                                                
video/smacker                             , "fmt/1234"                                                                                                          [Smacker Video]                                                                                                                                                                                                                                                    
video/realVideo                           , "x-fmt/190"                                                                                                         [RealMedia]                                                                                                                                                                                                                                                        
video/quake2Cinematic                     , "x-fmt/143"                                                                                                         [OS/2 Change Control File]                                                                                                                                                                                                                                         
video/mpeg2                               , "x-fmt/386", "fmt/585", "fmt/640", "fmt/1055"                                                                       [MPEG-2 Program Stream] [MPEG-2 Transport Stream] [MPEG-2 Elementary Stream] [M2TS]                                                                                                                                                                                
video/mpeg1                               , "x-fmt/385", "fmt/649"                                                                                              [MPEG-1 Program Stream] [MPEG-1 Elementary Stream]                                                                                                                                                                                                                 
video/mp4                                 , "fmt/199"                                                                                                           [MPEG-4 Media File]                                                                                                                                                                                                                                                
video/mov                                 , "x-fmt/384"                                                                                                         [Quicktime]                                                                                                                                                                                                                                                        
video/mkv                                 , "fmt/569"                                                                                                           [Matroska (1-4)]                                                                                                                                                                                                                                                   
video/iffVAXL                             , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
video/grasp                               , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
video/flv                                 , "x-fmt/382"                                                                                                         [Macromedia FLV (1)]                                                                                                                                                                                                                                               
video/fli                                 , "x-fmt/154"                                                                                                         [AutoDesk FLIC Animation]                                                                                                                                                                                                                                          
video/flc                                 , "fmt/298"                                                                                                           [Autodesk Animator Pro FLIC]                                                                                                                                                                                                                                       
video/deluxePaintAnimation                , "fmt/1363"                                                                                                          [DeluxePaint Animation File]                                                                                                                                                                                                                                       
video/delphineCIN                         , "x-fmt/143"                                                                                                         [OS/2 Change Control File]                                                                                                                                                                                                                                         
video/cyberPaintSeq                       , "fmt/1557"                                                                                                          [Cyber Paint Sequence]                                                                                                                                                                                                                                             
video/bink                                , "fmt/731"                                                                                                           [Bink Video Format (1)]                                                                                                                                                                                                                                            
video/cdxl                                , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
video/beamSoftwareSIFF                    , "fmt/1559"                                                                                                          [Beam Software SIFF File]                                                                                                                                                                                                                                          
video/avi                                 , "fmt/5"                                                                                                             [Audio/Video Interleaved Format]                                                                                                                                                                                                                                   
video/animaticFilm                        , "x-fmt/155"                                                                                                         [AutoCAD Film Roll]                                                                                                                                                                                                                                                
video/amigaMurder                         , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
unsupported/javaClass                     , "x-fmt/415"                                                                                                         [Java Compiled Object Code]                                                                                                                                                                                                                                        
unsupported/kryoFluxRawStream             , "fmt/656"                                                                                                           [KryoFlux (2.2)]                                                                                                                                                                                                                                                   
text/xml                                  , "fmt/101"                                                                                                           [Extensible Markup Language (1.0)]                                                                                                                                                                                                                                 
text/windowsAutorun                       , "fmt/212"                                                                                                           [Information or Setup File]                                                                                                                                                                                                                                        
text/txt                                  , "x-fmt/62", "fmt/162", "fmt/941"                                                                                    [Log File] [Microsoft Multiplan (4.0)] [Back Up File]                                                                                                                                                                                                              
text/q4d                                  , "fmt/1448"                                                                                                          [XLD4 (Graphic Data Document)]                                                                                                                                                                                                                                     
text/pl                                   , "fmt/870"                                                                                                           [Perl Script]                                                                                                                                                                                                                                                      
